start_date,end_date,topics,queries
2023-06-01,2023-07-01,"['Mediacom', 'God Save the King', 'Eva Longoria', 'Sandbag', 'MediaCom', 'Indian Ocean', 'Plea bargain', 'Plea', 'United States Air Force Academy', 'dictator', 'Rahul Gandhi', 'Criminal charge', 'Burisma', 'Joe Biden classified documents incident', 'Guilt', 'Classified information', 'John Fetterman', 'Air force', 'Laptop', 'Bribery', 'Hunter Biden laptop controversy', 'Impeachment', 'Hunter Biden', 'President']","['eva longoria', 'god save the queen biden', 'god save the queen', 'biden laptop media.com', 'biden laptop media', 'biden falls on stage', 'hunter biden plea deal', 'bidenlaptopmedia.com', 'biden eva longoria', 'hunter biden whatsapp', 'biden hits head', 'bidenlaptopmedia', 'hunter biden photos website', 'biden sturz', 'hunter biden pleads guilty', 'biden says god save the queen', 'biden falling on stage', 'biden falls at graduation', 'hunter biden laptop photo website', 'joe biden god save the queen', 'biden fall today', 'humoriste guillaume bats', 'biden laptop photos', 'chute biden', 'hunter biden fotos']"
2023-07-01,2023-08-01,"['Helsinki', 'Cocaine', 'Finland', 'Magic: The Gathering', 'Vilnius', 'Mitch McConnell', 'Marjorie Taylor Greene', 'Human trafficking', 'Grandchild', 'Troop', 'Hearing', 'Resignation', 'Charles III', 'Israel', 'Giorgia Meloni', 'NATO', 'NATO', 'Crack cocaine', 'The White House', 'Plea bargain', 'Hunter Biden']","['white house cocaine', 'biden nibbles', 'biden 7th grandchild', 'biden suomessa', 'mtg hunter biden', 'hunter biden speeding', 'biden helsinki', 'biden save plan', 'biden cocaine', 'hunter biden cocaine', 'biden at the beach', 'mitch mcconnell age', 'joe biden cocaine', 'biden finland', 'mitch mcconnell', 'biden suomeen', 'cuffe biden owens', 'hunter biden hearing', 'devon archer', 'missouri v biden', 'biden impeachment 2023', 'brigitte macron', 'biden on the beach', 'marjorie taylor', 'king charles age']"
2023-08-01,2023-09-01,"['Maui', 'Lahaina', 'Pseudonym', 'Lake Tahoe', 'Hawaii', 'Mug shot', 'Ceiling fan', 'Lockdown', 'Counsel', 'Special counsel', 'Utah', 'Wildfire', 'Vivek Ramaswamy', 'Chevrolet Corvette', 'COVID-19', 'Indictment', 'Debate', 'Opinion poll', 'Republican Party', 'Donald Trump', 'Democratic Party', 'Voting', 'Election contest', 'President of the United States', 'Barack Obama']","['biden in maui', 'biden maui', 'joe biden maui', 'maui', 'biden no comment', 'biden kitchen fire', 'biden on maui', 'biden covid restrictions', 'biden maui speech', 'hawaii fire', 'biden ceiling fans', 'robert l peters biden', 'robert l peters', 'biden hawaii', 'biden in hawaii', 'biden lake tahoe', 'biden tahoe', 'joe biden kitchen fire', 'biden grand canyon', 'joe biden hawaii', 'biden 20 million', 'republican debate', 'biden utah', 'covid', 'biden covid']"
2023-09-01,2023-10-01,"['Picketing', 'Impeachment inquiry in the United States', 'LL Cool J', 'Medal of Honor', 'Hanoi', 'Government shutdowns in the United States', 'UAW', 'United Auto Workers', 'Government shutdown', 'Inquiry', 'Nguyen Phu Trong', 'September 11 attacks', 'Medal', 'Ceremony', 'G20', 'Vietnam', 'United Nations', 'Strike action', 'Luiz Inácio Lula da Silva', 'Press conference', 'Alaska', 'Impeachment', 'Summit', 'Kevin McCarthy', 'Narendra Modi']","['biden picket line', 'biden ll cool j', 'biden walks into flag', 'jill biden covid', 'why is biden being impeached', 'government shutdown 2023', 'biden hanoi', 'biden impeachment inquiry', 'government shutdown', 'biden medal of honor', 'biden uaw', 'biden in vietnam', 'nguyễn phú trọng', 'joe biden 9/11', 'joe biden vietnam', 'biden 9/11', 'colin kaepernick', 'biden g20', 'vietnam', 'biden vietnam', 'g20', 'tổng thống biden', 'hunter biden indicted', 'g20 summit', 'biden press conference']"
2023-10-01,2023-11-01,"['Hamas', 'Gaza', 'Palestinians', 'Hezbollah', 'Israel', 'Decapitation', 'Chin', 'Delta Force', 'Conscription', 'Francis W. Biden', 'Israelis', 'Declaration of war', '60 Minutes', 'Border barrier', 'Mexico–United States border wall', 'Wall', 'Benjamin Netanyahu', 'The Oval Office', 'Hostage', 'Iran', 'Middle East', 'World War III', 'Speaker of the United States House of Representatives', 'Aid', 'Truth Social']","['hamas', 'gaza', 'biden gaza', 'biden hamas', 'hamas israel', 'gaza news', 'hezbollah', 'israele', 'israel war', 'israel palestine', 'isreal', 'biden delta force', 'biden israel speech', 'biden in isreal', 'did biden give money to iran', 'israel', 'biden israel', 'biden on israel', 'golda meir', 'biden in israel', 'joe biden israel', 'biden address nation', 'mike johnson', 'biden executive order crypto', 'frank biden selfie']"
2023-11-01,2023-12-01,"['Filoli Historic House & Garden', 'Birthday cake', 'Veterans Day', 'Turkey', 'dictator', 'Wreath', 'Cryptocurrency', 'Asia-Pacific Economic Cooperation', 'Xi Jinping', 'Naomi Biden', 'Joko Widodo', 'San Francisco', 'ex-serviceman', 'Pardon', 'Meeting', 'Impeachment inquiry into Joe Biden', 'Executive Branch', 'Executive order', 'Ceasefire', 'Jimmy Carter', 'Nikki Haley', 'Gavin Newsom', 'China', 'Opinion poll', 'Jill Biden']","['biden birthday cake', 'filoli estate', 'joe biden birthday cake', 'biden executive order crypto', 'heidi klum halloween 2022', 'biden and xi meeting', 'biden xi meeting', 'rosalynn carter', 'apec', 'biden and xi', 'joe biden cake', 'biden thanksgiving', 'biden xi', 'biden birthday meme', 'biden cake', 'naomi biden', 'biden in san francisco', 'biden birthday', 'joe biden birthday', 'joe manchin', 'xi jinping', 'biden xi jinping', 'biden san francisco', 'joe biden birth date', 'biden granddaughter']"
2023-12-01,2024-01-01,"['Army–Navy Game', 'Inquiry', 'Army Black Knights', 'Motorcade', 'Elton John', 'Indictment', 'Impeachment', 'Cannabis', 'Navy', 'Hunter Biden', 'Impeachment inquiry into Joe Biden', 'Presidency of Joe Biden', 'Criminal charge', 'Ashley Biden', 'Ballot', 'Impeachment inquiry in the United States', 'Volodymyr Zelenskyy', 'Pardon', 'The White House', 'Human migration', 'Jill Biden', 'Ukraine', 'Republican Party']","['jill biden christmas video', 'biden pardon marijuana', 'biden christmas video', 'white house jill biden christmas video', 'john schneider', 'ryan gosling ken barbie', 'baby im darm', 'biden pardons marijuana', 'jill biden white house christmas', 'frankfurter hauptbahnhof gesperrt', 'hunter biden indicted', 'biden st croix', 'hunter biden indictment', 'biden impeachment vote', 'biden motorcade', 'biden did you know', 'biden impeachment inquiry', 'biden marijuana', 'why is biden being impeached', 'is biden being impeached', 'amtsenthebungsverfahren biden', 'joe biden elton john', 'biden car crash', 'is hunter biden married', 'impeachment']"
2024-01-01,2024-02-01,"['Hard hat', 'Liquefied natural gas', 'Write-in candidate', 'Biden v. Texas', 'Brewery', 'New Hampshire presidential primary', 'Raleigh', 'Charleston', 'New Hampshire', 'Iowa Caucus', 'Caucus', 'Greg Abbott', 'Texas', 'Dean Phillips', 'Marianne Williamson', 'Jeffrey Epstein', 'Yemen', 'Primary election', 'Iowa', 'Houthi movement', 'Nikki Haley', 'Border', 'Michelle Obama', 'Middle East', 'Speech']","['biden hard hat', 'biden valley forge', 'joe biden write-in', 'iowa caucus results', 'harris la vice di biden', 'biden lng', 'biden allentown', 'new hampshire primary results', 'biden brewery', 'biden raleigh', 'new hampshire primary', 'nancy mace', 'biden vs texas', 'texas border', 'new hampshire', 'biden new hampshire', 'joe biden speech today', 'fani willis', 'biden charleston', 'iowa caucus', 'kevin morris', 'iowa caucus 2024', 'yemen', 'dean phillips', 'texas news']"
2024-02-01,2024-03-01,"['François Mitterrand', 'Robert Kyoung Hur', 'Special counsel', 'Informant', 'Seth Meyers', 'Alexei Navalny', 'Counsel', 'Memory', 'Jon Stewart', 'Joe Biden classified documents incident', 'James Biden', 'Classified information', 'Press conference', 'President of France', 'Tucker Carlson', 'East Palestine', 'United States Department of Justice', 'Vladimir Putin', 'Cognition', 'Trial', 'Beau Biden', 'Taylor Swift']","['biden mitterand', 'crozza biden', 'robert hur', 'pennsylvania abbreviation', 'star wars opening crawl', 'alexei navalny', 'helmut kohl', 'harpoon', 'government investigation', 'biden special counsel', 'biden seth meyers', 'delaware abbreviation', 'big dipper', 'rafah', 'biden memory', '25th amendment', 'government investigation nyt', 'biden laser eyes', 'joe biden just like we drew it up', 'biden home state', 'michigan primary 2024', 'jon stewart', 'joe biden memory', 'biden cognitive test', 'biden press conference']"
2024-03-01,2024-04-01,"['International Transgender Day of Visibility', 'Hogtie', 'Murder of Laken Riley', 'March 31', 'Katie Britt', 'State', 'State of the Union', 'Transgender', 'Super Tuesday', 'Marjorie Taylor Greene', 'Ban', 'Giorgia Meloni', 'Fundraising', 'Tuesday', 'Speaker', 'Speaker of the United States House of Representatives', 'Social Security', 'Mike Johnson', 'Truth Social', 'Speech', 'Delegate', 'Barack Obama', 'Age']","['biden easter transgender', 'biden transgender day', 'joe biden transgender day', 'biden trans day', 'transgender day of visibility', 'katie britt', 'biden sotu', 'biden easter', 'joe lieberman', 'biden state of the union speech', 'joe biden easter', 'biden state of union', 'state of the union', 'joe biden easter sunday', 'biden transgender', 'biden state of the union', 'joe biden state of the union', 'jean michel trogneux', 'super tuesday results', 'biden state of the union address', 'state of the union address', 'joe biden state of the union address', 'mike johnson speaker of the house', 'biden trans', 'biden fundraiser']"
2024-04-01,2024-05-01,"['Cannibalism', 'Howard Stern', 'Uncle', 'Title IX', 'Correspondent', 'Capital gain', 'Capital gains tax', 'Dwayne Johnson', 'Tampa', 'Ashley Biden', 'Capital', 'Pittsburgh', 'Diary', 'Scranton', 'Aid', 'Forgiveness', 'Student debt', 'Protest', 'Student loan', 'Petroleum', 'Student', 'Loan', 'Xi Jinping', 'Israel']","['biden cannibals', 'howard stern biden interview', 'biden on stern', 'howard stern', 'biden howard stern', 'howard stern joe biden', 'biden on howard stern', 'joe biden cannibals', 'médecin urgentiste patrick pelloux', 'biden title 9', 'journaliste houria ayari', 'biden title ix', 'biden capital gain tax', 'biden uncle', 'joe biden pause', 'capital gains tax', 'la harris vice di biden', 'biden in tampa', 'iran israel', 'joe biden uncle', 'biden iftar', 'biden pause', 'jill biden robe', 'iran', 'biden iran']"
2024-05-01,2024-06-01,"['Verdict', 'Skibidi Toilet', 'Seattle', 'Xenophobia', 'Robert De Niro', 'Morehouse College', 'Hallie Olivere Biden', '2020 United States presidential debates', 'Commander', 'Rafah', 'Debate', 'Tariff', 'Conviction', 'Boston', 'Flatulence', 'Pandemic', 'Weapon', 'Cannabis', 'Speech', 'Trial', 'Electric vehicle', 'Palestinians', 'United Nations', 'Antisemitism', 'Donation']","['commander for joe biden', 'biden morehouse speech', 'fibonacci sequence', 'commander or major for joe biden', 'trump verdict', 'airport with a bart station', 'biden seattle', 'xenophobic', 'biden in seattle', 'joe biden seattle', 'morehouse college', 'robert de niro', 'biden morehouse', 'jared bernstein', 'hunter biden trial', 'biden dog commander', 'hallie biden', 'biden rafah', 'ebrahim raisi', 'biden trump debate', 'biden debate', 'trump biden debates', 'trump and biden debate', 'biden tariffs', 'biden in boston']"
