,Conservative,Republican,democrats,Liberal,Libertarian,politics
0,hunter (6.08%),hunter (8.07%),harris (6.87%),news (9.37%),convention (6.6%),judge (6.02%)
1,border (3.57%),border (3.9%),voters (4.33%),voters (4.73%),israel (6.24%),harris (5.4%)
2,judge (2.84%),judge (3.62%),administration (3.89%),right (4.73%),war (4.81%),poll (5.26%)
3,white (2.79%),report (3.18%),news (3.87%),win (4.64%),right (4.46%),cnn (4.46%)
4,poll (2.67%),fbi (3.06%),judge (3.71%),democracy (4.64%),administration (4.28%),documents (3.66%)
5,administration (2.51%),white (2.57%),state (3.36%),voting (4.17%),want (4.1%),georgia (3.33%)
6,media (2.48%),news (2.51%),million (3.34%),support (4.17%),hunter (3.92%),money (3.12%)
7,news (2.46%),doj (2.44%),white (3.3%),wins (4.08%),support (3.92%),voters (2.88%)
8,voters (2.31%),illegal (2.23%),federal (3.23%),want (3.9%),crimes (3.74%),presidential (2.85%)
9,state (2.21%),poll (2.22%),states (3.19%),legal (3.9%),billion (3.57%),news (2.75%)
