start_date,end_date,topics,queries
2023-06-01,2023-07-01,"['Pickens', 'Aileen Cannon', 'Bret Baier', 'Arraignment', 'Indictment', 'Prosecution of Donald Trump in New York', 'Document', 'Criminal charge', 'Classified information', 'Chris Christie', 'Espionage', 'Bedminster', 'Jack Smith', 'Miami', 'Arrest', 'Trump National Golf Club Bedminster', 'Mug shot', 'United States Department of Justice', 'William Barr', 'Judge', 'Special counsel', 'Lawyer', 'Public prosecutor', 'Prison', 'Mike Pence']","['read trump indictment', 'aileen cannon', 'trump indictment pdf', 'trump indictment documents', 'trump lawyers quit', 'trump indictment document', 'trump indictment text', 'trump federal indictment', 'trump indictment summary', 'arraignment', 'trump arraignment', 'walt nauta', 'indictment of donald trump', 'pat robertson', 'margo martin trump', 'indicted meaning', 'what does indicted mean', 'trump indictment', 'indictment', 'trump fox interview', 'donald trump indicted', 'trump espionage', 'trump indicted', 'todd blanche', 'indicted']"
2023-07-01,2023-08-01,"['Guy Fieri', 'Erie', 'Cocaine', 'Mitch McConnell', 'Pickens', 'January 6', 'Vivek Ramaswamy', 'Rudy Giuliani', 'January', 'Trump International Hotel Las Vegas', 'Trump Towers', 'John F. Kennedy', 'Jeffrey Epstein', 'Barack Obama', 'The White House', 'Trump International Hotel & Tower® Chicago', 'Donald Trump Jr.', 'Election contest']","['guy fieri', 'trump target letter', 'trump obama address', ""aubrey o'day"", 'lady gaga trump', 'mark wahlberg', 'mark wahlberg trump', 'mitch mcconnell', 'trump burger', 'trump rally today', 'fani willis', 'trump rally schedule 2023', 'trump pickens sc', 'trump rally', 'bragg trump', 'kimberly guilfoyle', 'israel', 'giuliani', 'trump sinema', 'rudy giuliani', 'vivek ramaswamy', 'melissa joan hart', 'rfk jr', 'obama', 'trump jr']"
2023-08-01,2023-09-01,"['Mug shot', 'Tanya Chutkan', 'Fulton County Jail', 'Mug', '2024 Republican Party presidential debates and forums', 'Fulton County', 'Racketeer Influenced and Corrupt Organizations Act', 'Bail', 'Arraignment', 'Tucker Carlson', 'Merchandising', 'Human height', 'Georgia', 'Fourteenth Amendment to the United States Constitution', 'Interview', 'Fani Willis', 'Mark Meadows', 'Defendant', 'Debate', 'Arrest', 'Prison', 'Vivek Ramaswamy', 'Indictment', 'Criminal charge', 'Ivana Trump']","['mugshot', 'mugshot trump', 'donald trump mugshot', 'donald trump mug shot', 'trump mug', 'donald trump mug', 'trump mugshot shirt', 'fulton county jail', 'trump mugshot memes', 'trump protective order', 'trump mugshot meme', 'trump migshot', 'trump mugshot tshirt', 'trump carlson interview', 'tucker carlson trump interview', 'harrison floyd', 'trump tucker interview', 'trump surrender', 'tucker interview with trump', 'trump mug shot shirt', 'trump mug shot memes', 'trevian kutti', 'trump inmate number', 'why did donald trump get arrested', 'trump mug shot meme']"
2023-09-01,2023-10-01,"['Mug shot of Donald Trump', 'Meet the Press', 'Mark Milley', 'Government shutdown', 'Government shutdowns in the United States', 'United Auto Workers', 'UAW', 'Megyn Kelly', 'South Dakota', 'Lauren Boebert', 'Fraud', 'Trump Tower', 'Ballot', 'Impeachment', 'Border', 'Kim Jong Un', 'Iowa', 'Joe Biden', 'Barack Obama', 'Donald Trump Jr.', 'President', 'Vladimir Putin', 'Opinion poll']","['trump meet the press', 'trump milley', 'trump uaw', 'government shutdown', 'megyn kelly trump interview', 'uaw strike', 'cassidy hutchinson', 'trump glock', 'kristi noem', 'enrique tarrio', 'colin kaepernick', 'mitt romney', 'trump tower new york', 'dianne feinstein', 'trump fraud', 'trump gag order', 'trump organization', 'trump rally tonight', 'biden impeachment 2023', 'boebert', 'trump gun', 'trump in michigan', 'lauren boebert', 'trump tower', 'biden']"
2023-10-01,2023-11-01,"['Mike Johnson', 'Hezbollah', 'Speaker of the United States House of Representatives', 'Speaker', 'Clerk', 'Benjamin Netanyahu', 'United States House of Representatives', 'Jury trial', 'Alina Habba', 'Judd Trump', 'Snooker', 'Jim Jordan', 'Gag', 'Sidney Powell', 'Gag order', 'Trial', 'Testimony', 'Michael Cohen', 'Matt Gaetz', 'Plea', 'Jury', 'Kevin McCarthy', 'Court', 'Fraud', 'Ivanka Trump']","['trump hamas', 'trump hezbollah', 'house speaker vote', 'speaker of the house vote', 'can trump be speaker', 'mike johnson', 'house speaker', 'trump house speaker', 'trump speaker of the house', 'speaker of the house', 'can trump be speaker of the house', 'tom emmer', 'trump speaker', 'trump on israel', 'donald trump speaker of the house', 'isreal', 'israel news', 'trump palestine', 'steve scalise', 'trump israel', 'trump trial today', 'donald trump israel', 'netanyahu', 'trump fraud trial', 'trump trial live']"
2023-11-01,2023-12-01,"['Vermin', 'Rosalynn Carter', 'Maryanne Trump Barry', 'Univision', 'Clemson Tigers football', 'Funeral', 'Javier Milei', 'Jimmy Carter', 'Testimony', 'Home Alone', 'Debate', 'Rebellion', 'Eric Trump', 'George Santos', 'Tucker Carlson', 'Adolf Hitler', 'Nikki Haley', 'Ivanka Trump', 'Governor', 'Vice President of the United States', 'Vivek Ramaswamy', 'Donald Trump Jr.', 'Opinion poll', 'Melania Trump']","['rosalynn carter', 'melania trump carter', 'maryanne trump', 'maryanne trump barry', 'geert wilders', 'univision trump', 'elizabeth trump grau', 'trump tower fortnite', 'ivanka trump testimony', 'donald trump sister', 'trump sister', 'donald trump siblings', 'trump testimony', 'milei', 'ivanka trump plastic surgery', 'trump milei', 'trump siblings', 'joe manchin', 'kai trump', 'javier milei', 'jimmy carter', 'trump ufc', 'fred trump jr', 'ivanka trump children', 'trump rally today']"
2023-12-01,2024-01-01,"['Lemon juice', 'Colorado Supreme Court', 'Maine', 'Supreme court', 'Colorado', 'Ballot', 'dictator', 'Sean Hannity', 'Non-fungible token', 'Supreme Court of the United States', 'Home Alone 2: Lost in New York', 'Home Alone', 'U.S. state', 'Rebellion', 'Home Alone', 'Rudy Giuliani', 'Electoral college', 'Jeffrey Epstein', 'Fourteenth Amendment to the United States Constitution', 'Jack Smith', 'Constitutional amendment', 'NATO', 'Hunter Biden', 'NATO', 'Immigration']","['trump christmas greeting', 'trump christmas message', 'trump smells', 'colorado supreme court', 'colorado supreme court trump', 'collect trump cards', 'trump odor', 'colby covington', 'can trump run again in 2024', 'trump removed from ballot', 'kelsey grammer trump', 'maine trump', 'sebastian stan trump', 'sebastian stan', 'maine', 'trump trading cards', 'trump nft value', 'trump town hall', 'trump colorado ballot', 'colorado', 'colorado trump', 'trump ballot', 'trump off ballot', 'trump supreme court', 'donald trump colorado']"
2024-01-01,2024-02-01,"['Syphilis', 'New Hampshire presidential primary', 'E. Jean Carroll', 'E. Jean Carroll v. Donald J. Trump', 'Tim Scott', 'Iowa Caucus', 'Caucus', 'New Hampshire', 'Defamation', 'Snoop Dogg', 'Jeffrey Epstein', 'Iowa', 'Verdict', 'Vice President of the United States', 'Primary election', 'Nikki Haley', 'Sexual assault', 'Rape', 'Nevada', 'Nancy Pelosi', 'Vivek Ramaswamy', 'Alina Habba', 'Running mate', 'Assault', 'United States presidential election']","['trump 83 million', 'new hampshire primary results', 'iowa caucus results', 'trump wins iowa', 'trump magnets', 'new hampshire primary', 'e. jean carroll', 'jean carroll', 'e jean carroll', 'tim scott', 'melania trump mother', 'new hampshire', 'amalija knavs', 'trump new hampshire', 'iowa caucus', 'new hampshire primary polls', 'epstein list', 'iowa caucus 2024', 'dean phillips', 'melania trump mom', 'donald trump epstein', 'trump epstein', 'epstein', 'iowa trump', 'iowa']"
2024-02-01,2024-03-01,"['Sneakers', 'Alexei Navalny', 'GoFundMe', 'Shoes', 'Conservative Political Action Conference (CPAC)', 'Donald Trump Supreme Court candidates', 'Elvis Presley', 'Lara Trump', 'South Carolina', 'NATO', 'NATO', 'South Carolina presidential primary', 'Fani Willis', 'Supreme court', 'Tucker Carlson', 'Arthur F. Engoron', 'Supreme Court of the United States', 'Judgment', 'Immunity', 'Saturday Night Live', 'Javier Milei', 'Vladimir Putin', 'Shane Gillis', 'Fraud', 'Court']","['trump sneakers', 'trump gold sneakers', 'trump sneaker', 'trump sneaker con', 'donald trump sneakers', 'trump gold shoes', 'trump sneakers for sale', 'trump navalny', 'trump tennis shoes', 'donald trump sneaker', 'trump go fund me', 'trump shoes', 'trump gofundme', 'gofundme', 'get trump sneakers', 'alexei navalny', 'trump shoes for sale', 'donald trump shoes', 'trump girdle', 'get trumpsneakers.com', 'donald trump shoe', 'donald trump go fund me', 'michigan primary 2024', 'michigan primary', 'trump shoe']"
2024-03-01,2024-04-01,"['Tweet', 'Dow Jones Transportation Average', 'Digital World Acquisition Corp.', 'State of the Union', 'Academy Awards', 'Bible', 'Jimmy Kimmel', 'Bond', 'State', 'Bail', 'Super Tuesday', 'Media', 'Tuesday', 'Trump Media & Technology Group', 'Social Security', 'Truth Social', 'Truth', 'Delegate', 'Elon Musk', 'Mike Pence', 'Ivanka Trump']","['trump selling bibles', 'djt stock trump', 'trump bibles', 'djt stock', 'djt stock price', 'is trump selling bibles', 'trump selling bible', 'god bless the usa bible', 'djt', 'donald trump selling bibles', 'trump media & technology group stock', 'trump media stock', 'katie britt', 'trump media stock price', 'trump media & technology group', 'trump state of the union', 'trump bible', 'truth social stock', 'super tuesday results', 'state of the union address', 'trump media and technology group', 'al pacino', 'christopher nolan', 'trump bond', 'donald trump bible']"
