,Conservative,Republican,democrats,Liberal,Libertarian,politics
0,hunter (6.08%),hunter (8.07%),harris (3.87%),news (4.73%),convention (6.6%),harris (2.88%)
1,border (2.67%),border (3.9%),voters (3.71%),voters (4.64%),israel (6.24%),poll (2.6%)
2,white (2.31%),report (2.51%),administration (3.34%),right (4.17%),war (4.81%),cnn (2.58%)
3,poll (2.14%),fbi (2.13%),news (3.03%),win (4.08%),right (4.28%),documents (2.47%)
4,administration (2.05%),white (2.07%),state (2.92%),democracy (3.8%),administration (4.1%),georgia (2.47%)
5,media (2.02%),news (2.06%),million (2.44%),voting (3.53%),want (3.92%),money (2.41%)
6,news (2.0%),doj (2.0%),white (2.14%),support (3.53%),hunter (3.92%),voters (2.41%)
7,voters (1.9%),illegal (1.94%),federal (2.11%),wins (3.43%),support (3.74%),presidential (2.41%)
8,state (1.89%),poll (1.82%),states (2.07%),want (3.43%),crimes (3.57%),news (2.4%)
9,report (1.85%),rally (1.73%),support (2.04%),legal (3.34%),billion (3.21%),classified (2.29%)
